Instancia,Construcao,Busca,SEED,Bins,Iteracoes_Totais,Valor Alvo,Atingiu valor alvo?,Tempo até valor alvo
in/890.json,HFF,best_improving,231586,202,1,105,False,0
in/890.json,FFF,first_improving,610516,106,21,105,False,0
in/890.json,FFF,best_improving,610516,106,15,105,False,0
in/890.json,HFF,first_improving,610516,166,2,105,False,0
in/890.json,HFF,best_improving,610516,200,1,105,False,0
in/890.json,FFF,first_improving,82352,106,21,105,False,0
in/890.json,FFF,best_improving,82352,106,14,105,False,0
in/890.json,HFF,first_improving,82352,175,2,105,False,0
in/890.json,HFF,best_improving,82352,202,1,105,False,0
in/890.json,FFF,first_improving,42,106,21,105,False,0
in/890.json,FFF,best_improving,42,106,14,105,False,0
in/890.json,HFF,first_improving,42,171,3,105,False,0
in/890.json,HFF,best_improving,42,202,1,105,False,0
in/890.json,FFF,first_improving,363670,106,21,105,False,0
in/890.json,FFF,best_improving,363670,106,16,105,False,0
in/890.json,HFF,first_improving,363670,172,3,105,False,0
in/890.json,HFF,best_improving,363670,200,1,105,False,0
in/890.json,FFF,first_improving,764828,106,19,105,False,0
in/890.json,FFF,best_improving,764828,106,14,105,False,0
in/890.json,HFF,first_improving,764828,168,3,105,False,0
in/890.json,HFF,best_improving,764828,200,1,105,False,0
in/890.json,FFF,first_improving,364535,106,21,105,False,0
in/890.json,FFF,best_improving,364535,106,14,105,False,0
in/890.json,HFF,first_improving,364535,173,3,105,False,0
in/890.json,HFF,best_improving,364535,204,1,105,False,0
in/890.json,FFF,first_improving,432140,106,18,105,False,0
in/890.json,FFF,best_improving,432140,106,13,105,False,0
in/890.json,HFF,first_improving,432140,171,3,105,False,0
in/890.json,HFF,best_improving,432140,200,1,105,False,0
in/890.json,FFF,first_improving,679928,106,20,105,False,0
in/890.json,FFF,best_improving,679928,106,13,105,False,0
in/890.json,HFF,first_improving,679928,172,3,105,False,0
in/890.json,HFF,best_improving,679928,201,1,105,False,0
